"stat_id","temple_id","device_id","stats_start_time","monitored_variable","stats_cycle","feature_key","feature_value","standby_field01","created_at"
1,"045","201A","2021-01-01 00:00:00","湿度","hour","均值","24.00","","2025-10-14 13:43:01"
2,"045","201A","2021-01-01 01:00:00","湿度","hour","均值","23.00","","2025-10-14 13:43:01"
3,"045","201A","2021-01-01 02:00:00","湿度","hour","均值","23.00","","2025-10-14 13:43:01"
4,"045","201A","2021-01-01 03:00:00","湿度","hour","均值","23.00","","2025-10-14 13:43:01"
5,"045","201A","2021-01-01 04:00:00","湿度","hour","均值","23.00","","2025-10-14 13:43:01"
6,"045","201A","2021-01-01 05:00:00","湿度","hour","均值","23.00","","2025-10-14 13:43:01"
7,"045","201A","2021-01-01 06:00:00","湿度","hour","均值","23.00","","2025-10-14 13:43:01"
8,"045","201A","2021-01-01 07:00:00","湿度","hour","均值","22.80","","2025-10-14 13:43:01"
9,"045","201A","2021-01-01 08:00:00","湿度","hour","均值","22.00","","2025-10-14 13:43:01"
10,"045","201A","2021-01-01 09:00:00","湿度","hour","均值","22.73","","2025-10-14 13:43:01"
11,"045","201A","2021-01-01 10:00:00","湿度","hour","均值","22.00","","2025-10-14 13:43:01"
12,"045","201A","2021-01-01 11:00:00","湿度","hour","均值","22.65","","2025-10-14 13:43:01"
13,"045","201A","2021-01-01 12:00:00","湿度","hour","均值","26.07","","2025-10-14 13:43:01"
14,"045","201A","2021-01-01 13:00:00","湿度","hour","均值","29.47","","2025-10-14 13:43:01"
15,"045","201A","2021-01-01 14:00:00","湿度","hour","均值","31.28","","2025-10-14 13:43:01"
16,"045","201A","2021-01-01 15:00:00","湿度","hour","均值","32.13","","2025-10-14 13:43:01"
17,"045","201A","2021-01-01 16:00:00","湿度","hour","均值","30.82","","2025-10-14 13:43:01"
18,"045","201A","2021-01-01 17:00:00","湿度","hour","均值","29.50","","2025-10-14 13:43:01"
19,"045","201A","2021-01-01 18:00:00","湿度","hour","均值","28.00","","2025-10-14 13:43:01"
